"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
,,
Kuukausi,Hyodyke,Pisteluku
2007M09,01141 Maito,103.64
2007M09,01144 Juustot ja rahkat,100.29
2007M09,01151 Voi,96.96
2007M09,011612 Banaanit,79.71
2007M09,011613 Omenat,116.71
2007M10,0111 Viljatuotteet ja leipa,102.8
2007M10,0112 Liha,103.89
2007M10,01141 Maito,103.75
2007M10,01144 Juustot ja rahkat,100.21
2007M10,01151 Voi,97.15
2007M10,011612 Banaanit,88.5
2007M10,011613 Omenat,116.19
2007M11,0111 Viljatuotteet ja leipa,102.98
2007M11,0112 Liha,104.25
2007M11,01141 Maito,103.88
2007M11,01144 Juustot ja rahkat,99.63
2007M11,01151 Voi,96.56
2007M11,011612 Banaanit,81.76
2007M11,011613 Omenat,111.55
2007M12,0111 Viljatuotteet ja leipa,103.08
2007M12,0112 Liha,104.07
2007M12,01141 Maito,104.07
2007M12,01144 Juustot ja rahkat,99.61
2007M12,01151 Voi,96.8
2007M12,011612 Banaanit,81.9
2007M12,011613 Omenat,112.33
2008M01,0111 Viljatuotteet ja leipa,108.88
2008M01,0112 Liha,108.11
2008M01,01141 Maito,118.21
2008M01,01144 Juustot ja rahkat,107.76
2008M01,01151 Voi,109.78
2008M01,011612 Banaanit,86.42
2008M01,011613 Omenat,114.62
2008M02,0111 Viljatuotteet ja leipa,109.91
2008M02,0112 Liha,108.96
2008M02,01141 Maito,119
2008M02,01144 Juustot ja rahkat,109.07
2008M02,01151 Voi,111.25
2008M02,011612 Banaanit,93.85
2008M02,011613 Omenat,112.32
2008M03,0111 Viljatuotteet ja leipa,109.92
2008M03,0112 Liha,109.68
2008M03,01141 Maito,119.32
2008M03,01144 Juustot ja rahkat,108.76
2008M03,01151 Voi,111.19
2008M03,011612 Banaanit,103.9
2008M03,011613 Omenat,117.19
2008M04,0111 Viljatuotteet ja leipa,110.51
2008M04,0112 Liha,109.69
2008M04,01141 Maito,119.51
2008M04,01144 Juustot ja rahkat,108.78
2008M04,01151 Voi,111.16
2008M04,011612 Banaanit,107.51
