"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
,,
Kuukausi,Hyodyke,Pisteluku
2022M07,0112 Liha,153.71
2022M07,01141 Maito,152.18
2022M07,01144 Juustot ja rahkat,144.45
2022M07,01151 Voi,126.67
2022M07,011612 Banaanit,.
2022M07,011613 Omenat,.
2022M08,0111 Viljatuotteet ja leipa,139.66
2022M08,0112 Liha,154.23
2022M08,01141 Maito,152.97
2022M08,01144 Juustot ja rahkat,145.58
2022M08,01151 Voi,127.96
2022M08,011612 Banaanit,.
2022M08,011613 Omenat,.
2022M09,0111 Viljatuotteet ja leipa,145.36
2022M09,0112 Liha,161.47
2022M09,01141 Maito,154.83
2022M09,01144 Juustot ja rahkat,149.66
2022M09,01151 Voi,134.71
2022M09,011612 Banaanit,.
2022M09,011613 Omenat,.
2022M10,0111 Viljatuotteet ja leipa,146.23
2022M10,0112 Liha,162.62
2022M10,01141 Maito,159.38
2022M10,01144 Juustot ja rahkat,149.71
2022M10,01151 Voi,133.55
2022M10,011612 Banaanit,.
2022M10,011613 Omenat,.
2022M11,0111 Viljatuotteet ja leipa,145.94
2022M11,0112 Liha,161.64
2022M11,01141 Maito,161.78
2022M11,01144 Juustot ja rahkat,150.91
2022M11,01151 Voi,139.7
2022M11,011612 Banaanit,.
2022M11,011613 Omenat,.
2022M12,0111 Viljatuotteet ja leipa,146.19
2022M12,0112 Liha,159.91
2022M12,01141 Maito,161.76
2022M12,01144 Juustot ja rahkat,149.75
2022M12,01151 Voi,138.51
2022M12,011612 Banaanit,.
2022M12,011613 Omenat,.
2023M01,0111 Viljatuotteet ja leipa,147.46
2023M01,0112 Liha,159.95
2023M01,01141 Maito,162.76
2023M01,01144 Juustot ja rahkat,150.39
2023M01,01151 Voi,141.68
2023M01,011612 Banaanit,.
2023M01,011613 Omenat,.
2023M02,0111 Viljatuotteet ja leipa,150.32
2023M02,0112 Liha,164.35
2023M02,01141 Maito,165.83
2023M02,01144 Juustot ja rahkat,155.2
2023M02,01151 Voi,143.93
2023M02,011612 Banaanit,.
2023M02,011613 Omenat,.
